order_id,customer_id,order_date,store_id,store_name,region,product_id,product_name,category,subcategory,quantity,unit_price,discount_pct,revenue,cost,gross_margin,payment_method,channel,order_status,delivery_days,inventory_on_hand,reorder_level,seller_id,rating,return_flag
O000041,C0198,2025-04-21,S006,Pune Market,West,P004,Running Shoes,Fashion,Footwear,2,2999,5,5698.1,3304.9,2393.2,Credit Card,Store,Cancelled,,67,32,SELLER006,2,0
O000042,C0215,2025-07-07,S001,Bengaluru Central,South,P015,Skincare Set,Beauty,Personal Care,3,2499,10,6747.3,3508.6,3238.7,Debit Card,Web,Delivered,4,86,39,SELLER007,3,0
O000043,C0232,2025-10-20,S002,Chennai Marina,South,P010,Water Bottle,Sports,Fitness,4,699,15,2376.6,1259.6,1117,Wallet,Mobile App,Delivered,5,105,46,SELLER008,4,0
O000044,C0249,2025-01-06,S003,Mumbai West,West,P005,Bluetooth Speaker,Electronics,Audio,1,1899,20,1519.2,820.37,698.83,Net Banking,Store,Delivered,6,124,53,SELLER009,5,0
O000045,C0016,2025-04-19,S004,Delhi Select,North,P016,Bluetooth Keyboard,Electronics,Accessories,2,2799,0,5598,3078.9,2519.1,UPI,Web,Shipped,7,143,25,SELLER010,1,0
O000046,C0033,2025-07-05,S005,Hyderabad Hub,South,P011,Cotton Bedsheet,Home,Bedding,3,1599,5,4557.15,2552,2005.15,Credit Card,Mobile App,Processing,,162,32,SELLER011,2,0
O000047,C0050,2025-10-18,S006,Pune Market,West,P006,Laptop Stand,Office,Accessories,4,1499,10,5396.4,3075.95,2320.45,Debit Card,Store,Returned,9,181,39,SELLER012,3,1
O000048,C0067,2025-01-04,S001,Bengaluru Central,South,P001,Wireless Headphones,Electronics,Audio,1,2499,15,2124.15,1232.01,892.14,Wallet,Web,Cancelled,,20,46,SELLER013,4,0
O000049,C0084,2025-04-17,S002,Chennai Marina,South,P012,Non-stick Pan,Home Appliances,Kitchen,2,2199,20,3518.4,1829.57,1688.83,Net Banking,Mobile App,Delivered,3,39,53,SELLER014,5,0
O000050,C0101,2025-07-03,S003,Mumbai West,West,P007,Desk Lamp,Home,Lighting,3,999,0,2997,1588.41,1408.59,UPI,Store,Delivered,4,58,25,SELLER015,1,0
O000051,C0118,2025-10-16,S004,Delhi Select,North,P002,Smart Watch,Electronics,Wearables,4,5999,5,22796.2,12309.95,10486.25,Credit Card,Web,Delivered,5,77,32,SELLER016,2,0
O000052,C0135,2025-01-02,S005,Hyderabad Hub,South,P013,USB-C Hub,Electronics,Accessories,1,2299,10,2069.1,1138.01,931.09,Debit Card,Mobile App,Shipped,6,96,39,SELLER017,3,0
O000053,C0152,2025-04-15,S006,Pune Market,West,P008,Yoga Mat,Sports,Fitness,2,1299,15,2208.3,1236.65,971.65,Wallet,Store,Processing,,115,46,SELLER018,4,0
O000054,C0169,2025-07-01,S001,Bengaluru Central,South,P003,Coffee Maker,Home Appliances,Kitchen,3,3499,20,8397.6,4786.63,3610.97,Net Banking,Web,Returned,8,134,53,SELLER001,5,1
O000055,C0186,2025-10-14,S002,Chennai Marina,South,P014,Office Chair,Office,Furniture,4,8999,0,35996,20877.68,15118.32,UPI,Mobile App,Cancelled,,153,25,SELLER002,1,0
O000056,C0203,2025-01-27,S003,Mumbai West,West,P009,Backpack,Fashion,Bags,1,1799,5,1709.05,888.71,820.34,Credit Card,Store,Delivered,2,172,32,SELLER003,2,0
O000057,C0220,2025-04-13,S004,Delhi Select,North,P004,Running Shoes,Fashion,Footwear,2,2999,10,5398.2,2861.05,2537.15,Debit Card,Web,Delivered,3,11,39,SELLER004,3,0
O000058,C0237,2025-07-26,S005,Hyderabad Hub,South,P015,Skincare Set,Beauty,Personal Care,3,2499,15,6372.45,3441.12,2931.33,Wallet,Mobile App,Delivered,4,30,46,SELLER005,4,0
O000059,C0004,2025-10-12,S006,Pune Market,West,P010,Water Bottle,Sports,Fitness,4,699,20,2236.8,1230.24,1006.56,Net Banking,Store,Shipped,5,49,53,SELLER006,5,0
O000060,C0021,2025-01-25,S001,Bengaluru Central,South,P005,Bluetooth Speaker,Electronics,Audio,1,1899,0,1899,1063.44,835.56,UPI,Web,Processing,,68,25,SELLER007,1,0
O000061,C0038,2025-04-11,S002,Chennai Marina,South,P016,Bluetooth Keyboard,Electronics,Accessories,2,2799,5,5318.1,3031.32,2286.78,Credit Card,Mobile App,Returned,7,87,32,SELLER008,2,1
O000062,C0055,2025-07-24,S003,Mumbai West,West,P011,Cotton Bedsheet,Home,Bedding,3,1599,10,4317.3,2504.03,1813.27,Debit Card,Store,Cancelled,,106,39,SELLER009,3,0
O000063,C0072,2025-10-10,S004,Delhi Select,North,P006,Laptop Stand,Office,Accessories,4,1499,15,5096.6,2650.23,2446.37,Wallet,Web,Delivered,9,125,46,SELLER010,4,0
O000064,C0089,2025-01-23,S005,Hyderabad Hub,South,P001,Wireless Headphones,Electronics,Audio,1,2499,20,1999.2,1059.58,939.62,Net Banking,Mobile App,Delivered,2,144,53,SELLER011,5,0
O000065,C0106,2025-04-09,S006,Pune Market,West,P012,Non-stick Pan,Home Appliances,Kitchen,2,2199,0,4398,2374.92,2023.08,UPI,Store,Delivered,3,163,25,SELLER012,1,0
O000066,C0123,2025-07-22,S001,Bengaluru Central,South,P007,Desk Lamp,Home,Lighting,3,999,5,2847.15,1565.93,1281.22,Credit Card,Web,Shipped,4,182,32,SELLER013,2,0
O000067,C0140,2025-10-08,S002,Chennai Marina,South,P002,Smart Watch,Electronics,Wearables,4,5999,10,21596.4,12093.98,9502.42,Debit Card,Mobile App,Processing,,21,39,SELLER014,3,0
O000068,C0157,2025-01-21,S003,Mumbai West,West,P013,USB-C Hub,Electronics,Accessories,1,2299,15,1954.15,1113.87,840.28,Wallet,Store,Returned,6,40,46,SELLER015,4,1
O000069,C0174,2025-04-07,S004,Delhi Select,North,P008,Yoga Mat,Sports,Fitness,2,1299,20,2078.4,1205.47,872.93,Net Banking,Web,Cancelled,,59,53,SELLER016,5,0
O000070,C0191,2025-07-20,S005,Hyderabad Hub,South,P003,Coffee Maker,Home Appliances,Kitchen,3,3499,0,10497,5458.44,5038.56,UPI,Mobile App,Delivered,8,78,25,SELLER017,1,0
O000071,C0208,2025-10-06,S006,Pune Market,West,P014,Office Chair,Office,Furniture,4,8999,5,34196.2,18123.99,16072.21,Credit Card,Store,Delivered,9,97,32,SELLER018,2,0
O000072,C0225,2025-01-19,S001,Bengaluru Central,South,P009,Backpack,Fashion,Bags,1,1799,10,1619.1,874.31,744.79,Debit Card,Web,Delivered,2,116,39,SELLER001,3,0
O000073,C0242,2025-04-05,S002,Chennai Marina,South,P004,Running Shoes,Fashion,Footwear,2,2999,15,5098.3,2804.07,2294.23,Wallet,Mobile App,Shipped,3,135,46,SELLER002,4,0
O000074,C0009,2025-07-18,S003,Mumbai West,West,P015,Skincare Set,Beauty,Personal Care,3,2499,20,5997.6,3358.66,2638.94,Net Banking,Store,Processing,,154,53,SELLER003,5,0
O000075,C0026,2025-10-04,S004,Delhi Select,North,P010,Water Bottle,Sports,Fitness,4,699,0,2796,1593.72,1202.28,UPI,Web,Returned,5,173,25,SELLER004,1,1
O000076,C0043,2025-01-17,S005,Hyderabad Hub,South,P005,Bluetooth Speaker,Electronics,Audio,1,1899,5,1804.05,1046.35,757.7,Credit Card,Mobile App,Cancelled,,12,32,SELLER005,2,0
O000077,C0060,2025-04-03,S006,Pune Market,West,P016,Bluetooth Keyboard,Electronics,Accessories,2,2799,10,5038.2,2619.86,2418.34,Debit Card,Store,Delivered,7,31,39,SELLER006,3,0
O000078,C0077,2025-07-16,S001,Bengaluru Central,South,P011,Cotton Bedsheet,Home,Bedding,3,1599,15,4077.45,2161.05,1916.4,Wallet,Web,Delivered,8,50,46,SELLER007,4,0
O000079,C0094,2025-10-02,S002,Chennai Marina,South,P006,Laptop Stand,Office,Accessories,4,1499,20,4796.8,2590.27,2206.53,Net Banking,Mobile App,Delivered,9,69,53,SELLER008,5,0
O000080,C0111,2025-01-15,S003,Mumbai West,West,P001,Wireless Headphones,Electronics,Audio,1,2499,0,2499,1374.45,1124.55,UPI,Store,Shipped,2,88,25,SELLER009,1,0
O000081,C0128,2025-04-01,S004,Delhi Select,North,P012,Non-stick Pan,Home Appliances,Kitchen,2,2199,5,4178.1,2339.74,1838.36,Credit Card,Web,Processing,,107,32,SELLER010,2,0
O000082,C0145,2025-07-14,S005,Hyderabad Hub,South,P007,Desk Lamp,Home,Lighting,3,999,10,2697.3,1537.46,1159.84,Debit Card,Mobile App,Returned,4,126,39,SELLER011,3,1
O000083,C0162,2025-10-27,S006,Pune Market,West,P002,Smart Watch,Electronics,Wearables,4,5999,15,20396.6,11830.03,8566.57,Wallet,Store,Cancelled,,145,46,SELLER012,4,0
O000084,C0179,2025-01-13,S001,Bengaluru Central,South,P013,USB-C Hub,Electronics,Accessories,1,2299,20,1839.2,956.38,882.82,Net Banking,Web,Delivered,6,164,53,SELLER013,5,0
O000085,C0196,2025-04-26,S002,Chennai Marina,South,P008,Yoga Mat,Sports,Fitness,2,1299,0,2598,1376.94,1221.06,UPI,Mobile App,Delivered,7,183,25,SELLER014,1,0
O000086,C0213,2025-07-12,S003,Mumbai West,West,P003,Coffee Maker,Home Appliances,Kitchen,3,3499,5,9972.15,5384.96,4587.19,Credit Card,Store,Delivered,8,22,32,SELLER015,2,0
O000087,C0230,2025-10-25,S004,Delhi Select,North,P014,Office Chair,Office,Furniture,4,8999,10,32396.4,17818.02,14578.38,Debit Card,Web,Shipped,9,41,39,SELLER016,3,0
O000088,C0247,2025-01-11,S005,Hyderabad Hub,South,P009,Backpack,Fashion,Bags,1,1799,15,1529.15,856.32,672.83,Wallet,Mobile App,Processing,,60,46,SELLER017,4,0
O000089,C0014,2025-04-24,S006,Pune Market,West,P004,Running Shoes,Fashion,Footwear,2,2999,20,4798.4,2735.09,2063.31,Net Banking,Store,Returned,3,79,53,SELLER018,5,1
O000090,C0031,2025-07-10,S001,Bengaluru Central,South,P015,Skincare Set,Beauty,Personal Care,3,2499,0,7497,4348.26,3148.74,UPI,Web,Cancelled,,98,25,SELLER001,1,0
O000091,C0048,2025-10-23,S002,Chennai Marina,South,P010,Water Bottle,Sports,Fitness,4,699,5,2656.2,1381.22,1274.98,Credit Card,Mobile App,Delivered,5,117,32,SELLER002,2,0
O000092,C0065,2025-01-09,S003,Mumbai West,West,P005,Bluetooth Speaker,Electronics,Audio,1,1899,10,1709.1,905.82,803.28,Debit Card,Store,Delivered,6,136,39,SELLER003,3,0
O000093,C0082,2025-04-22,S004,Delhi Select,North,P016,Bluetooth Keyboard,Electronics,Accessories,2,2799,15,4758.3,2569.48,2188.82,Wallet,Web,Delivered,7,155,46,SELLER004,4,0
O000094,C0099,2025-07-08,S005,Hyderabad Hub,South,P011,Cotton Bedsheet,Home,Bedding,3,1599,20,3837.6,2110.68,1726.92,Net Banking,Mobile App,Shipped,8,174,53,SELLER005,5,0
O000095,C0116,2025-10-21,S006,Pune Market,West,P006,Laptop Stand,Office,Accessories,4,1499,0,5996,3357.76,2638.24,UPI,Store,Processing,,13,25,SELLER006,1,0
O000096,C0133,2025-01-07,S001,Bengaluru Central,South,P001,Wireless Headphones,Electronics,Audio,1,2499,5,2374.05,1353.21,1020.84,Credit Card,Web,Returned,2,32,32,SELLER007,2,1
O000097,C0150,2025-04-20,S002,Chennai Marina,South,P012,Non-stick Pan,Home Appliances,Kitchen,2,2199,10,3958.2,2295.76,1662.44,Debit Card,Mobile App,Cancelled,,51,39,SELLER008,3,0
O000098,C0167,2025-07-06,S003,Mumbai West,West,P007,Desk Lamp,Home,Lighting,3,999,15,2547.45,1324.67,1222.78,Wallet,Store,Delivered,4,70,46,SELLER009,4,0
O000099,C0184,2025-10-19,S004,Delhi Select,North,P002,Smart Watch,Electronics,Wearables,4,5999,20,19196.8,10174.3,9022.5,Net Banking,Web,Delivered,5,89,53,SELLER010,5,0
O000100,C0201,2025-01-05,S005,Hyderabad Hub,South,P013,USB-C Hub,Electronics,Accessories,1,2299,0,2299,1241.46,1057.54,UPI,Mobile App,Delivered,6,108,25,SELLER011,1,0
O000101,C0218,2025-04-18,S006,Pune Market,West,P008,Yoga Mat,Sports,Fitness,2,1299,5,2468.1,1357.46,1110.64,Credit Card,Store,Shipped,7,127,32,SELLER012,2,0
O000102,C0235,2025-07-04,S001,Bengaluru Central,South,P003,Coffee Maker,Home Appliances,Kitchen,3,3499,10,9447.3,5290.49,4156.81,Debit Card,Web,Processing,,146,39,SELLER013,3,0
O000103,C0002,2025-10-17,S002,Chennai Marina,South,P014,Office Chair,Office,Furniture,4,8999,15,30596.6,17440.06,13156.54,Wallet,Mobile App,Returned,9,165,46,SELLER014,4,1
O000104,C0019,2025-01-03,S003,Mumbai West,West,P009,Backpack,Fashion,Bags,1,1799,20,1439.2,834.74,604.46,Net Banking,Store,Cancelled,,184,53,SELLER015,5,0
O000105,C0036,2025-04-16,S004,Delhi Select,North,P004,Running Shoes,Fashion,Footwear,2,2999,0,5998,3118.96,2879.04,UPI,Web,Delivered,3,23,25,SELLER016,1,0
O000106,C0053,2025-07-02,S005,Hyderabad Hub,South,P015,Skincare Set,Beauty,Personal Care,3,2499,5,7122.15,3774.74,3347.41,Credit Card,Mobile App,Delivered,4,42,32,SELLER017,2,0
O000107,C0070,2025-10-15,S006,Pune Market,West,P010,Water Bottle,Sports,Fitness,4,699,10,2516.4,1358.86,1157.54,Debit Card,Store,Delivered,5,61,39,SELLER018,3,0
O000108,C0087,2025-01-01,S001,Bengaluru Central,South,P005,Bluetooth Speaker,Electronics,Audio,1,1899,15,1614.15,887.78,726.37,Wallet,Web,Shipped,6,80,46,SELLER001,4,0
O000109,C0104,2025-04-14,S002,Chennai Marina,South,P016,Bluetooth Keyboard,Electronics,Accessories,2,2799,20,4478.4,2507.9,1970.5,Net Banking,Mobile App,Processing,,99,53,SELLER002,5,0
O000110,C0121,2025-07-27,S003,Mumbai West,West,P011,Cotton Bedsheet,Home,Bedding,3,1599,0,4797,2734.29,2062.71,UPI,Store,Returned,8,118,25,SELLER003,1,1
O000111,C0138,2025-10-13,S004,Delhi Select,North,P006,Laptop Stand,Office,Accessories,4,1499,5,5696.2,3303.8,2392.4,Credit Card,Web,Cancelled,,137,32,SELLER004,2,0
O000112,C0155,2025-01-26,S005,Hyderabad Hub,South,P001,Wireless Headphones,Electronics,Audio,1,2499,10,2249.1,1169.53,1079.57,Debit Card,Mobile App,Delivered,2,156,39,SELLER005,3,0
O000113,C0172,2025-04-12,S006,Pune Market,West,P012,Non-stick Pan,Home Appliances,Kitchen,2,2199,15,3738.3,1981.3,1757,Wallet,Store,Delivered,3,175,46,SELLER006,4,0
O000114,C0189,2025-07-25,S001,Bengaluru Central,South,P007,Desk Lamp,Home,Lighting,3,999,20,2397.6,1294.7,1102.9,Net Banking,Web,Delivered,4,14,53,SELLER007,5,0
O000115,C0206,2025-10-11,S002,Chennai Marina,South,P002,Smart Watch,Electronics,Wearables,4,5999,0,23996,13197.8,10798.2,UPI,Mobile App,Shipped,5,33,25,SELLER008,1,0
O000116,C0223,2025-01-24,S003,Mumbai West,West,P013,USB-C Hub,Electronics,Accessories,1,2299,5,2184.05,1223.07,960.98,Credit Card,Store,Processing,,52,32,SELLER009,2,0
O000117,C0240,2025-04-10,S004,Delhi Select,North,P008,Yoga Mat,Sports,Fitness,2,1299,10,2338.2,1332.77,1005.43,Debit Card,Web,Returned,7,71,39,SELLER010,3,1
O000118,C0007,2025-07-23,S005,Hyderabad Hub,South,P003,Coffee Maker,Home Appliances,Kitchen,3,3499,15,8922.45,5175.02,3747.43,Wallet,Mobile App,Cancelled,,90,46,SELLER011,4,0
O000119,C0024,2025-10-09,S006,Pune Market,West,P014,Office Chair,Office,Furniture,4,8999,20,28796.8,14974.34,13822.46,Net Banking,Store,Delivered,9,109,53,SELLER012,5,0
O000120,C0041,2025-01-22,S001,Bengaluru Central,South,P009,Backpack,Fashion,Bags,1,1799,0,1799,953.47,845.53,UPI,Web,Delivered,2,128,25,SELLER013,1,0
O000121,C0058,2025-04-08,S002,Chennai Marina,South,P004,Running Shoes,Fashion,Footwear,2,2999,5,5698.1,3076.97,2621.13,Credit Card,Mobile App,Delivered,3,147,32,SELLER014,2,0
O000122,C0075,2025-07-21,S003,Mumbai West,West,P015,Skincare Set,Beauty,Personal Care,3,2499,10,6747.3,3711.02,3036.28,Debit Card,Store,Shipped,4,166,39,SELLER015,3,0
O000123,C0092,2025-10-07,S004,Delhi Select,North,P010,Water Bottle,Sports,Fitness,4,699,15,2376.6,1330.9,1045.7,Wallet,Web,Processing,,185,46,SELLER016,4,0
O000124,C0109,2025-01-20,S005,Hyderabad Hub,South,P005,Bluetooth Speaker,Electronics,Audio,1,1899,20,1519.2,865.94,653.26,Net Banking,Mobile App,Returned,6,24,53,SELLER017,5,1
O000125,C0126,2025-04-06,S006,Pune Market,West,P016,Bluetooth Keyboard,Electronics,Accessories,2,2799,0,5598,3246.84,2351.16,UPI,Store,Cancelled,,43,25,SELLER018,1,0
O000126,C0143,2025-07-19,S001,Bengaluru Central,South,P011,Cotton Bedsheet,Home,Bedding,3,1599,5,4557.15,2369.72,2187.43,Credit Card,Web,Delivered,8,62,32,SELLER001,2,0
O000127,C0160,2025-10-05,S002,Chennai Marina,South,P006,Laptop Stand,Office,Accessories,4,1499,10,5396.4,2860.09,2536.31,Debit Card,Mobile App,Delivered,9,81,39,SELLER002,3,0
O000128,C0177,2025-01-18,S003,Mumbai West,West,P001,Wireless Headphones,Electronics,Audio,1,2499,15,2124.15,1147.04,977.11,Wallet,Store,Delivered,2,100,46,SELLER003,4,0
O000129,C0194,2025-04-04,S004,Delhi Select,North,P012,Non-stick Pan,Home Appliances,Kitchen,2,2199,20,3518.4,1935.12,1583.28,Net Banking,Web,Shipped,3,119,53,SELLER004,5,0
O000130,C0211,2025-07-17,S005,Hyderabad Hub,South,P007,Desk Lamp,Home,Lighting,3,999,0,2997,1678.32,1318.68,UPI,Mobile App,Processing,,138,25,SELLER005,1,0
O000131,C0228,2025-10-03,S006,Pune Market,West,P002,Smart Watch,Electronics,Wearables,4,5999,5,22796.2,12993.83,9802.37,Credit Card,Store,Returned,5,157,32,SELLER006,2,1
O000132,C0245,2025-01-16,S001,Bengaluru Central,South,P013,USB-C Hub,Electronics,Accessories,1,2299,10,2069.1,1200.08,869.02,Debit Card,Web,Cancelled,,176,39,SELLER007,3,0
O000133,C0012,2025-04-02,S002,Chennai Marina,South,P008,Yoga Mat,Sports,Fitness,2,1299,15,2208.3,1148.32,1059.98,Wallet,Mobile App,Delivered,7,15,46,SELLER008,4,0
O000134,C0029,2025-07-15,S003,Mumbai West,West,P003,Coffee Maker,Home Appliances,Kitchen,3,3499,20,8397.6,4450.73,3946.87,Net Banking,Store,Delivered,8,34,53,SELLER009,5,0
O000135,C0046,2025-10-01,S004,Delhi Select,North,P014,Office Chair,Office,Furniture,4,8999,0,35996,19437.84,16558.16,UPI,Web,Delivered,9,53,25,SELLER010,1,0
O000136,C0063,2025-01-14,S005,Hyderabad Hub,South,P009,Backpack,Fashion,Bags,1,1799,5,1709.05,939.98,769.07,Credit Card,Mobile App,Shipped,2,72,32,SELLER011,2,0
O000137,C0080,2025-04-27,S006,Pune Market,West,P004,Running Shoes,Fashion,Footwear,2,2999,10,5398.2,3022.99,2375.21,Debit Card,Store,Processing,,91,39,SELLER012,3,0
O000138,C0097,2025-07-13,S001,Bengaluru Central,South,P015,Skincare Set,Beauty,Personal Care,3,2499,15,6372.45,3632.3,2740.15,Wallet,Web,Returned,4,110,46,SELLER013,4,1
